Feature,Coefficient
Malaria_Incidence,3.697251673902109
Precipitation_mm,0.06507816037560936
Pop_Density,-0.21425477792713787
GDP_per_Capita,-0.7152444353118902
Temp_Annual_Mean_C,0.21039334970471146
Temp_GrowingSeason_Mean_C,0.2724066959615707
Malaria_Lag1,1.2152531124003678
Malaria_Lag2,0.06835266500373714
Malaria_Lag3,-0.6200821647715347
Temp_Lag1,-0.20260511382267427
Precip_Lag1,0.06507825239900275
GDP_Lag1,-0.4273700292779648
Malaria_Roll3,1.641184751550747
Temp_Roll3,-0.12653148801971534
Precip_Roll3,0.06507877556933352
Malaria_YoY_Change,0.07640385436656072
Temp_Precip_Interaction,-0.28633835576200134
Temp_Squared,0.14054951634070437
Climate_Risk_Index,-0.34805771301072386
Vulnerability_Index,0.4405232876980653
Log_GDP,0.27985179152362605
Log_Malaria_Incidence,1.173611845127183
