Feature,Coefficient
Malaria_Incidence,3.79464007143836
Precipitation_mm,0.035092846838428934
Pop_Density,-0.2625408367226841
GDP_per_Capita,-0.5911245442287013
Temp_Annual_Mean_C,0.22268746876475398
Temp_GrowingSeason_Mean_C,0.27106492004971267
Malaria_Lag1,1.0586997622853322
Malaria_Lag2,-0.06132859993502637
Malaria_Lag3,-0.5799913344138469
Temp_Lag1,-0.25820893742751544
Precip_Lag1,0.035092936366872926
GDP_Lag1,-0.34834632043263697
Malaria_Roll3,1.576336502328812
Temp_Roll3,-0.12811766748752162
Precip_Roll3,0.03509302315575781
Malaria_YoY_Change,0.013565199528737346
Temp_Precip_Interaction,-0.33076033147697514
Temp_Squared,0.1599914567285814
Climate_Risk_Index,-0.3152821450822191
Vulnerability_Index,0.46036057569229083
Log_GDP,0.24225133628038917
Log_Malaria_Incidence,1.2825875971443919
