Feature,Coefficient
Malaria_Incidence,4.4868435722140285
Precipitation_mm,0.08130533780190087
Pop_Density,-0.5542825332670767
GDP_per_Capita,-0.9116230247149386
Temp_Annual_Mean_C,0.27835981005420046
Temp_GrowingSeason_Mean_C,0.3053328286581504
Malaria_Lag1,1.253736539170965
Malaria_Lag2,-0.14348766103097327
Malaria_Lag3,-0.7447717762443371
Temp_Lag1,-0.3641290401139922
Precip_Lag1,0.08130546430695067
GDP_Lag1,-0.46636241527209893
Malaria_Roll3,1.8402534418312275
Temp_Roll3,-0.1448242637127473
Precip_Roll3,0.08130719460581275
Malaria_YoY_Change,-0.020788881300041844
Temp_Precip_Interaction,-0.3563592040348289
Temp_Squared,0.2176532501886727
Climate_Risk_Index,-0.39386054094816875
Vulnerability_Index,0.5827752205186636
Log_GDP,0.3956602931288671
Log_Malaria_Incidence,1.3766117474253032
